n,app,hierarchy_level,level_precision
18,RUPEE,Superfamily,0.482860520094563
19,RUPEE,Superfamily,0.472564389697648
20,RUPEE,Superfamily,0.466489361702128
21,RUPEE,Superfamily,0.460992907801418
22,RUPEE,Superfamily,0.45357833655706
23,RUPEE,Superfamily,0.445883441258094
24,RUPEE,Superfamily,0.43927304964539
25,RUPEE,Superfamily,0.433617021276596
26,RUPEE,Superfamily,0.425941080196399
27,RUPEE,Superfamily,0.42080378250591
28,RUPEE,Superfamily,0.413753799392097
29,RUPEE,Superfamily,0.408657373440939
30,RUPEE,Superfamily,0.402836879432624
31,RUPEE,Superfamily,0.39601921757035
32,RUPEE,Superfamily,0.390625
33,RUPEE,Superfamily,0.385235332043843
34,RUPEE,Superfamily,0.379849812265332
35,RUPEE,Superfamily,0.375987841945289
36,RUPEE,Superfamily,0.372044917257683
37,RUPEE,Superfamily,0.367165037377803
38,RUPEE,Superfamily,0.361142217245241
39,RUPEE,Superfamily,0.355155482815057
40,RUPEE,Superfamily,0.350265957446808
41,RUPEE,Superfamily,0.34587441619097
42,RUPEE,Superfamily,0.341691995947315
43,RUPEE,Superfamily,0.338198911429985
44,RUPEE,Superfamily,0.334864603481625
45,RUPEE,Superfamily,0.331442080378251
46,RUPEE,Superfamily,0.327937095282146
47,RUPEE,Superfamily,0.32390221819828
48,RUPEE,Superfamily,0.319813829787234
49,RUPEE,Superfamily,0.315892314372558
50,RUPEE,Superfamily,0.312553191489362
1,RUPEE,Topology,1
2,RUPEE,Topology,0.920212765957447
3,RUPEE,Topology,0.865248226950355
4,RUPEE,Topology,0.813829787234043
5,RUPEE,Topology,0.774468085106383
6,RUPEE,Topology,0.76063829787234
7,RUPEE,Topology,0.735562310030395
8,RUPEE,Topology,0.710106382978723
9,RUPEE,Topology,0.690307328605201
10,RUPEE,Topology,0.671276595744681
11,RUPEE,Topology,0.653771760154739
12,RUPEE,Topology,0.636524822695035
13,RUPEE,Topology,0.621931260229133
14,RUPEE,Topology,0.605623100303951
15,RUPEE,Topology,0.593617021276596
16,RUPEE,Topology,0.58311170212766
17,RUPEE,Topology,0.571964956195244
18,RUPEE,Topology,0.563238770685579
19,RUPEE,Topology,0.554311310190369
20,RUPEE,Topology,0.551595744680851
21,RUPEE,Topology,0.549138804457953
22,RUPEE,Topology,0.544970986460348
23,RUPEE,Topology,0.538852913968548
24,RUPEE,Topology,0.531471631205674
25,RUPEE,Topology,0.52468085106383
26,RUPEE,Topology,0.517184942716858
27,RUPEE,Topology,0.512608353033885
28,RUPEE,Topology,0.506838905775076
29,RUPEE,Topology,0.502201027146001
30,RUPEE,Topology,0.496808510638298
31,RUPEE,Topology,0.490048043925875
32,RUPEE,Topology,0.484707446808511
33,RUPEE,Topology,0.480657640232108
34,RUPEE,Topology,0.476846057571965
35,RUPEE,Topology,0.473252279635258
36,RUPEE,Topology,0.469858156028369
37,RUPEE,Topology,0.466072455434158
38,RUPEE,Topology,0.462206047032475
39,RUPEE,Topology,0.457174031642117
40,RUPEE,Topology,0.452659574468085
41,RUPEE,Topology,0.44862480539699
42,RUPEE,Topology,0.444782168186424
43,RUPEE,Topology,0.441860465116279
44,RUPEE,Topology,0.439071566731141
45,RUPEE,Topology,0.435933806146572
46,RUPEE,Topology,0.432701202590194
47,RUPEE,Topology,0.428927116342236
48,RUPEE,Topology,0.424867021276596
49,RUPEE,Topology,0.421841076856274
50,RUPEE,Topology,0.418723404255319
