n,app,alg,score_type,avg_cume_score
36,RUPEE RMSD,FATCAT,RMSD,0.89438332402140594157
37,RUPEE RMSD,FATCAT,RMSD,0.90646811546529021432
38,RUPEE RMSD,FATCAT,RMSD,0.91887251919991565144
39,RUPEE RMSD,FATCAT,RMSD,0.93268736585799983051
40,RUPEE RMSD,FATCAT,RMSD,0.94383612624960054595
41,RUPEE RMSD,FATCAT,RMSD,0.95745205077113414865
42,RUPEE RMSD,FATCAT,RMSD,0.97006876788243217465
43,RUPEE RMSD,FATCAT,RMSD,0.97950730812799055252
44,RUPEE RMSD,FATCAT,RMSD,0.99014585135476503463
45,RUPEE RMSD,FATCAT,RMSD,0.99977595259980846351
46,RUPEE RMSD,FATCAT,RMSD,1.00810109521903597382
47,RUPEE RMSD,FATCAT,RMSD,1.01747802835007417613
48,RUPEE RMSD,FATCAT,RMSD,1.02484278938080630104
49,RUPEE RMSD,FATCAT,RMSD,1.03534110987001134048
50,RUPEE RMSD,FATCAT,RMSD,1.04430760538581796178
1,SSM,FATCAT,RMSD,0.38276942126074865139
2,SSM,FATCAT,RMSD,0.47146613986243062488
3,SSM,FATCAT,RMSD,0.46489600458587428534
4,SSM,FATCAT,RMSD,0.49062665528616254904
5,SSM,FATCAT,RMSD,0.51241196908209932478
6,SSM,FATCAT,RMSD,0.52984655138573575381
7,SSM,FATCAT,RMSD,0.54584357326628509032
8,SSM,FATCAT,RMSD,0.56153684241334113587
9,SSM,FATCAT,RMSD,0.59371368582332277165
10,SSM,FATCAT,RMSD,0.63210301779143331632
11,SSM,FATCAT,RMSD,0.65905209668899723874
12,SSM,FATCAT,RMSD,0.68375367372391146446
13,SSM,FATCAT,RMSD,0.71351593238569839311
14,SSM,FATCAT,RMSD,0.73517110097979417265
15,SSM,FATCAT,RMSD,0.75897544451476697410
16,SSM,FATCAT,RMSD,0.78195681639662669201
17,SSM,FATCAT,RMSD,0.79983088466042437582
18,SSM,FATCAT,RMSD,0.81684447208598260435
19,SSM,FATCAT,RMSD,0.83609999133791087828
20,SSM,FATCAT,RMSD,0.85568633001876510241
21,SSM,FATCAT,RMSD,0.87659094454881408370
22,SSM,FATCAT,RMSD,0.89861830712072224858
23,SSM,FATCAT,RMSD,0.92313531848365344763
24,SSM,FATCAT,RMSD,0.94268407960029938125
25,SSM,FATCAT,RMSD,0.96590151647775862983
26,SSM,FATCAT,RMSD,0.98279114188268417402
27,SSM,FATCAT,RMSD,1.00104865588128472419
28,SSM,FATCAT,RMSD,1.01874536881726539838
29,SSM,FATCAT,RMSD,1.04219310086050087919
30,SSM,FATCAT,RMSD,1.05744149986995002838
31,SSM,FATCAT,RMSD,1.07457073483853533009
32,SSM,FATCAT,RMSD,1.09152453735909459029
33,SSM,FATCAT,RMSD,1.10954886024560637874
34,SSM,FATCAT,RMSD,1.12653920524537958547
35,SSM,FATCAT,RMSD,1.14408985892030466361
36,SSM,FATCAT,RMSD,1.15728609527621018555
37,SSM,FATCAT,RMSD,1.16964447791319871419
38,SSM,FATCAT,RMSD,1.18108718167003634495
39,SSM,FATCAT,RMSD,1.19710406649806989575
40,SSM,FATCAT,RMSD,1.20846085012317541686
41,SSM,FATCAT,RMSD,1.22102635009901810403
42,SSM,FATCAT,RMSD,1.23121592341451022438
43,SSM,FATCAT,RMSD,1.24431837107082714908
44,SSM,FATCAT,RMSD,1.25359329213800041504
45,SSM,FATCAT,RMSD,1.26785580631407465825
46,SSM,FATCAT,RMSD,1.27979239040813173975
47,SSM,FATCAT,RMSD,1.28934066374778037646
48,SSM,FATCAT,RMSD,1.30300980631614526371
49,SSM,FATCAT,RMSD,1.31430003099983027248
50,SSM,FATCAT,RMSD,1.32666033775692670165
1,RUPEE Fast,FATCAT,TM-Score,0.99998263113179002258
2,RUPEE Fast,FATCAT,TM-Score,0.99536683949001629435
3,RUPEE Fast,FATCAT,TM-Score,0.99236548797695214032
4,RUPEE Fast,FATCAT,TM-Score,0.98953113373772815726
5,RUPEE Fast,FATCAT,TM-Score,0.98810015068458763097
6,RUPEE Fast,FATCAT,TM-Score,0.98640536106312138091
7,RUPEE Fast,FATCAT,TM-Score,0.98462343321994830668
8,RUPEE Fast,FATCAT,TM-Score,0.98183086235916974617
9,RUPEE Fast,FATCAT,TM-Score,0.97983968176581255484
10,RUPEE Fast,FATCAT,TM-Score,0.97768991198176929839
11,RUPEE Fast,FATCAT,TM-Score,0.97589751869759685807
12,RUPEE Fast,FATCAT,TM-Score,0.97431321216337432070
13,RUPEE Fast,FATCAT,TM-Score,0.97248536300663477581
14,RUPEE Fast,FATCAT,TM-Score,0.97018225338951679813
15,RUPEE Fast,FATCAT,TM-Score,0.96772665205910291929
16,RUPEE Fast,FATCAT,TM-Score,0.96496213055876589462
17,RUPEE Fast,FATCAT,TM-Score,0.96276110241937033146
18,RUPEE Fast,FATCAT,TM-Score,0.96024360710194706874
19,RUPEE Fast,FATCAT,TM-Score,0.95793652717337088986
20,RUPEE Fast,FATCAT,TM-Score,0.95565819170958611509
21,RUPEE Fast,FATCAT,TM-Score,0.95274588859482717335
22,RUPEE Fast,FATCAT,TM-Score,0.95068561972087183065
23,RUPEE Fast,FATCAT,TM-Score,0.94799027568977147269
24,RUPEE Fast,FATCAT,TM-Score,0.94528598672914030640
25,RUPEE Fast,FATCAT,TM-Score,0.94276326372824253550
26,RUPEE Fast,FATCAT,TM-Score,0.93997757028411953467
27,RUPEE Fast,FATCAT,TM-Score,0.93677257618502442133
28,RUPEE Fast,FATCAT,TM-Score,0.93445883032491590425
29,RUPEE Fast,FATCAT,TM-Score,0.93129387923220487562
30,RUPEE Fast,FATCAT,TM-Score,0.92813581322523367941
31,RUPEE Fast,FATCAT,TM-Score,0.92548952064117011798
32,RUPEE Fast,FATCAT,TM-Score,0.92283646329316898541
33,RUPEE Fast,FATCAT,TM-Score,0.91986344169133530353
34,RUPEE Fast,FATCAT,TM-Score,0.91725572387500358207
35,RUPEE Fast,FATCAT,TM-Score,0.91405735212124954031
36,RUPEE Fast,FATCAT,TM-Score,0.91069677073524690218
37,RUPEE Fast,FATCAT,TM-Score,0.90743983746648541369
38,RUPEE Fast,FATCAT,TM-Score,0.90452188669376223662
39,RUPEE Fast,FATCAT,TM-Score,0.90187549934934620621
40,RUPEE Fast,FATCAT,TM-Score,0.89932716502720438839
41,RUPEE Fast,FATCAT,TM-Score,0.89679097511694490715
42,RUPEE Fast,FATCAT,TM-Score,0.89428728147466244080
