n,app,alg,avg_cume_score
1,RUPEE All-Aligned,TM_AVG,0.51044200976845571378
2,RUPEE All-Aligned,TM_AVG,0.50786241144767721260
3,RUPEE All-Aligned,TM_AVG,0.50545640907192802070
4,RUPEE All-Aligned,TM_AVG,0.50329024009697855919
5,RUPEE All-Aligned,TM_AVG,0.50067516809820108597
6,RUPEE All-Aligned,TM_AVG,0.49867221017926130218
7,RUPEE All-Aligned,TM_AVG,0.49692949147757784954
8,RUPEE All-Aligned,TM_AVG,0.49527603072354802668
9,RUPEE All-Aligned,TM_AVG,0.49381362314150743723
10,RUPEE All-Aligned,TM_AVG,0.49221864369656615901
11,RUPEE All-Aligned,TM_AVG,0.49067546639844499731
12,RUPEE All-Aligned,TM_AVG,0.48920566346838279251
13,RUPEE All-Aligned,TM_AVG,0.48733559367095961890
14,RUPEE All-Aligned,TM_AVG,0.48565778861371039534
15,RUPEE All-Aligned,TM_AVG,0.48412495630555643452
16,RUPEE All-Aligned,TM_AVG,0.48272361512937709523
17,RUPEE All-Aligned,TM_AVG,0.48144194182989053156
18,RUPEE All-Aligned,TM_AVG,0.48025224067631422968
19,RUPEE All-Aligned,TM_AVG,0.47915060004537217188
20,RUPEE All-Aligned,TM_AVG,0.47812575223567695208
21,RUPEE All-Aligned,TM_AVG,0.47712961538795845405
22,RUPEE All-Aligned,TM_AVG,0.47619290084156552723
23,RUPEE All-Aligned,TM_AVG,0.47530531362239543548
24,RUPEE All-Aligned,TM_AVG,0.47445927939586383522
25,RUPEE All-Aligned,TM_AVG,0.47364773574924004032
26,RUPEE All-Aligned,TM_AVG,0.47286663791428302686
27,RUPEE All-Aligned,TM_AVG,0.47211597878225558048
28,RUPEE All-Aligned,TM_AVG,0.47139792218378842419
29,RUPEE All-Aligned,TM_AVG,0.47070847388815212412
30,RUPEE All-Aligned,TM_AVG,0.47004460298993106517
31,RUPEE All-Aligned,TM_AVG,0.46940529060696256376
32,RUPEE All-Aligned,TM_AVG,0.46878952228359716149
33,RUPEE All-Aligned,TM_AVG,0.46819583886681278076
34,RUPEE All-Aligned,TM_AVG,0.46761653861364600169
35,RUPEE All-Aligned,TM_AVG,0.46704924498846630399
36,RUPEE All-Aligned,TM_AVG,0.46649535180819126344
37,RUPEE All-Aligned,TM_AVG,0.46595743335685606250
38,RUPEE All-Aligned,TM_AVG,0.46543473294508029413
39,RUPEE All-Aligned,TM_AVG,0.46492540501243342891
40,RUPEE All-Aligned,TM_AVG,0.46443094783413201061
41,RUPEE All-Aligned,TM_AVG,0.46394986874878483642
42,RUPEE All-Aligned,TM_AVG,0.46348077204310318595
43,RUPEE All-Aligned,TM_AVG,0.46302312945400239185
44,RUPEE All-Aligned,TM_AVG,0.46257508779058310523
45,RUPEE All-Aligned,TM_AVG,0.46213750374103660191
46,RUPEE All-Aligned,TM_AVG,0.46170826291558082857
47,RUPEE All-Aligned,TM_AVG,0.46128985758351652087
48,RUPEE All-Aligned,TM_AVG,0.46087991426569609944
49,RUPEE All-Aligned,TM_AVG,0.46047939900634190295
50,RUPEE All-Aligned,TM_AVG,0.46008694051220604291
51,RUPEE All-Aligned,TM_AVG,0.45970111071502559034
52,RUPEE All-Aligned,TM_AVG,0.45931820800416754020
53,RUPEE All-Aligned,TM_AVG,0.45894126051799888080
54,RUPEE All-Aligned,TM_AVG,0.45857047926294814567
55,RUPEE All-Aligned,TM_AVG,0.45820754682353993678
56,RUPEE All-Aligned,TM_AVG,0.45785066594540448372
57,RUPEE All-Aligned,TM_AVG,0.45749917670530929009
58,RUPEE All-Aligned,TM_AVG,0.45715291563239536321
59,RUPEE All-Aligned,TM_AVG,0.45681136701959645059
60,RUPEE All-Aligned,TM_AVG,0.45647525523956442724
61,RUPEE All-Aligned,TM_AVG,0.45614331857141132677
62,RUPEE All-Aligned,TM_AVG,0.45581699823520903279
63,RUPEE All-Aligned,TM_AVG,0.45549612954390915686
64,RUPEE All-Aligned,TM_AVG,0.45518090503823245782
65,RUPEE All-Aligned,TM_AVG,0.45487049822088648262
66,RUPEE All-Aligned,TM_AVG,0.45456438770817156931
67,RUPEE All-Aligned,TM_AVG,0.45426326048248154267
68,RUPEE All-Aligned,TM_AVG,0.45396536428841870480
69,RUPEE All-Aligned,TM_AVG,0.45367115994254917427
70,RUPEE All-Aligned,TM_AVG,0.45338132692932375643
71,RUPEE All-Aligned,TM_AVG,0.45309580241099123525
72,RUPEE All-Aligned,TM_AVG,0.45281428432059278898
73,RUPEE All-Aligned,TM_AVG,0.45253230912745640827
74,RUPEE All-Aligned,TM_AVG,0.45225394205420067428
75,RUPEE All-Aligned,TM_AVG,0.45197917352838696872
76,RUPEE All-Aligned,TM_AVG,0.45170882904171132975
77,RUPEE All-Aligned,TM_AVG,0.45144225729160978086
78,RUPEE All-Aligned,TM_AVG,0.45117920045423244402
79,RUPEE All-Aligned,TM_AVG,0.45091986421008582862
80,RUPEE All-Aligned,TM_AVG,0.45066370050592806837
81,RUPEE All-Aligned,TM_AVG,0.45041042642736024588
82,RUPEE All-Aligned,TM_AVG,0.45016038215004422957
83,RUPEE All-Aligned,TM_AVG,0.44991290227706375929
84,RUPEE All-Aligned,TM_AVG,0.44966841616424722211
85,RUPEE All-Aligned,TM_AVG,0.44942715262326059344
86,RUPEE All-Aligned,TM_AVG,0.44918663748146192737
87,RUPEE All-Aligned,TM_AVG,0.44894769323937803828
88,RUPEE All-Aligned,TM_AVG,0.44871103495075275588
89,RUPEE All-Aligned,TM_AVG,0.44847581112370810016
90,RUPEE All-Aligned,TM_AVG,0.44824140643435945861
91,RUPEE All-Aligned,TM_AVG,0.44800925035272900817
92,RUPEE All-Aligned,TM_AVG,0.44777917065186046419
