n,app,alg,score_type,avg_cume_score
34,RUPEE RMSD,TM_AVG,RMSD,0.87644066940160628588
35,RUPEE RMSD,TM_AVG,RMSD,0.87431917930009353587
36,RUPEE RMSD,TM_AVG,RMSD,0.87213232607112525604
37,RUPEE RMSD,TM_AVG,RMSD,0.87000351854947484524
38,RUPEE RMSD,TM_AVG,RMSD,0.86822836399879779830
39,RUPEE RMSD,TM_AVG,RMSD,0.86638295542461393246
40,RUPEE RMSD,TM_AVG,RMSD,0.86382799482242925614
41,RUPEE RMSD,TM_AVG,RMSD,0.86121507113500871733
42,RUPEE RMSD,TM_AVG,RMSD,0.85921752924614438942
43,RUPEE RMSD,TM_AVG,RMSD,0.85671191226409582445
44,RUPEE RMSD,TM_AVG,RMSD,0.85489656704245546690
45,RUPEE RMSD,TM_AVG,RMSD,0.85310889414175754204
46,RUPEE RMSD,TM_AVG,RMSD,0.85128868296917025188
47,RUPEE RMSD,TM_AVG,RMSD,0.84963364436532667005
48,RUPEE RMSD,TM_AVG,RMSD,0.84820870403976526702
49,RUPEE RMSD,TM_AVG,RMSD,0.84665915450328859225
50,RUPEE RMSD,TM_AVG,RMSD,0.84506718800040183570
1,SSM,TM_AVG,RMSD,0.98034111529065491452
2,SSM,TM_AVG,RMSD,0.96951122371987715919
3,SSM,TM_AVG,RMSD,0.97317011590252178785
4,SSM,TM_AVG,RMSD,0.97056198315355194895
5,SSM,TM_AVG,RMSD,0.96763449203977645626
6,SSM,TM_AVG,RMSD,0.96428839094792176704
7,SSM,TM_AVG,RMSD,0.96147053703031591982
8,SSM,TM_AVG,RMSD,0.95975048737022957331
9,SSM,TM_AVG,RMSD,0.95571217224063263111
10,SSM,TM_AVG,RMSD,0.95154828657738329871
11,SSM,TM_AVG,RMSD,0.94835221402340261965
12,SSM,TM_AVG,RMSD,0.94575414672069228156
13,SSM,TM_AVG,RMSD,0.94327985366820498865
14,SSM,TM_AVG,RMSD,0.94059221079929321734
15,SSM,TM_AVG,RMSD,0.93666863970849042238
16,SSM,TM_AVG,RMSD,0.93384266196207371737
17,SSM,TM_AVG,RMSD,0.93111729838124765768
18,SSM,TM_AVG,RMSD,0.92748373633487639842
19,SSM,TM_AVG,RMSD,0.92393010461795987130
20,SSM,TM_AVG,RMSD,0.92107361606334439092
21,SSM,TM_AVG,RMSD,0.91812247207739114611
22,SSM,TM_AVG,RMSD,0.91542567964248791294
23,SSM,TM_AVG,RMSD,0.91242157982882290983
24,SSM,TM_AVG,RMSD,0.91006662282306257964
25,SSM,TM_AVG,RMSD,0.90696616787072627119
26,SSM,TM_AVG,RMSD,0.90484647537124000391
27,SSM,TM_AVG,RMSD,0.90239450423148428855
28,SSM,TM_AVG,RMSD,0.89996171027590829120
29,SSM,TM_AVG,RMSD,0.89673797218604156757
30,SSM,TM_AVG,RMSD,0.89417946232090729184
31,SSM,TM_AVG,RMSD,0.89153973765633896598
32,SSM,TM_AVG,RMSD,0.88860308919382001035
33,SSM,TM_AVG,RMSD,0.88517086495629561315
34,SSM,TM_AVG,RMSD,0.88222617459208632420
35,SSM,TM_AVG,RMSD,0.87919080366312458277
36,SSM,TM_AVG,RMSD,0.87674092350573763564
37,SSM,TM_AVG,RMSD,0.87455698187310497868
38,SSM,TM_AVG,RMSD,0.87269361401213495559
39,SSM,TM_AVG,RMSD,0.87036269966824716461
40,SSM,TM_AVG,RMSD,0.86876420811746736900
41,SSM,TM_AVG,RMSD,0.86675483461476726295
42,SSM,TM_AVG,RMSD,0.86499690598190685560
