3rpeB00,99.5087,0
3ngxA02,82.8917,3.92
3gfsC00,82.7335,3.22
4n65B00,82.7244,3.25
3eqzB00,81.0783,3.47
3lwbA01,80.9274,3.41
3vpbA01,80.8728,6.7
4c6sA00,80.6976,3.53
3l49A01,80.6602,3.92
2j3lA01,80.599,5.32
1g7sA03,80.5151,3.55
1kjnA00,79.801,3.77
1t1jA00,79.5007,4.06
2i2cA01,78.8195,3.23
3cwcB01,78.7715,4.17
1edzA02,78.3711,3.85
1mzpA02,78.0042,3.78
2j67B00,77.9317,5.21
3u7qA03,77.8758,4.3
4ix9D00,77.8411,4
3a32A02,77.8303,4.93
4es6A01,77.7858,4.29
2gfqA02,77.762,4.51
2coeA01,77.7469,5
3fkqA01,77.634,4.97
2d0oB00,77.2173,6.49
1jr2A01,77.2057,4.71
1eiwA00,77.1298,3.44
1nbwB00,77.079,6.66
1h05A00,76.8168,4.89
2b99C00,76.7571,4.41
2o1sB03,76.7457,4.79
2an1D01,76.7304,9.98
3bulA02,76.6556,4.22
3lwzB00,76.6503,5.2
2obxA00,76.5924,4.64
1cvrA01,76.5846,5.75
1t3gB00,76.353,5.51
1mvlA00,76.2103,4.39
1y7pB02,76.1015,5.05
1oi7A02,76.0766,5.68
1qv9A01,76.073,5.06
1yc5A01,75.8524,4.55
3ii6X03,75.8464,6.05
1rcuA00,75.794,5.3
2i4rB00,75.7927,4.24
2xdaA00,75.6624,5.39
2erxA00,75.5734,3.98
2dkoA00,75.443,5.25
1t15A01,75.4396,8.56
1c4kA01,75.4191,3.76
3aonB00,75.269,6.9
1gkuB05,75.152,5.92
4jemA00,75.1476,4.89
1ta9B01,75.1471,4.67
3lrtB01,75.0156,5.77
3kp1A04,74.8424,4.43
1p3y100,74.7356,4.73
2fp4B03,74.693,5.05
3a9sA01,74.6889,4.5
1mw9X01,74.6731,6.28
1yt5A01,74.653,3.85
2q5cA02,74.6411,4.93
2vvpC00,74.64,9.03
2zskA01,74.6236,3.97
1mr3F00,74.457,4.19
4iilA01,74.3915,5.75
1yqeA02,74.3889,4.92
1wcwA01,74.3695,5.71
3u31A01,74.203,4.1
1hi9A01,74.1608,4.25
2o1xD03,74.0704,4.61
1z2nX01,74.047,6.02
3sgwA00,73.99,9.21
2i4lB02,73.8985,6.39
1xovA01,73.867,6.53
1c30A08,73.8615,4.13
3ce9A01,73.7756,5.21
3g23A01,73.667,4.32
3cw9A02,73.6066,6.42
2xw6A00,73.583,4.01
4jc8A01,73.4772,4.66
1i7dA01,73.406,5.64
2ab0A00,73.3135,6.29
1c41A00,73.2972,4.5
1u9yA01,73.2824,6.74
1zl0B01,73.2297,5.03
3bvpB00,73.166,9.58
1lu9A01,73.1373,5.24
1hh1A00,72.8695,9.53
4jehA01,72.806,5.05
1j24A00,72.7504,6.57
4rn7A00,72.6189,6.76
1xmxA02,72.5963,9.4
1m0wA04,72.586,5.13
4p3xA01,72.5853,5.19
2jfzB01,72.543,4.1
3ko8A01,72.5346,4.93
3sxuB00,72.4828,6.34
3tlaA01,72.407,6.2
4fx5A02,72.4026,7.06
3kuuB00,72.3763,6.04
4bxoA01,72.2939,5.81
3sxuA00,72.2676,6.57
4bx8A01,72.2676,4.78
1mjnA00,72.1289,8.71
3graA00,72.0757,6.04
2f9fA00,72.023,4.86
2hqsA01,71.9676,8.5
3av3A00,71.9587,5.83
1ytlA00,71.9176,5.19
1shuX00,71.7631,7.64
3s5jA01,71.6972,6.18
4dimA01,71.694,11.32
4lq4A02,71.5895,4.45
3czxA00,71.5726,8.02
1cfzA00,71.427,7.75
2q07A01,71.4131,6.09
1su8A02,71.2835,4.49
3sqlB02,71.211,7.23
1vljA01,71.1519,5.64
2p62A01,71.081,4.75
1amuA02,71.0203,8.06
3guvA00,70.8763,5.72
2blnA01,70.7988,7.68
3b48F00,70.736,5.74
3v3tA01,70.719,5.89
2wi8A02,70.7176,6.25
3u26A01,70.6376,5
2e85B00,70.5876,8.11
2ebjA00,70.5506,6.83
2yutA00,70.5146,5.59
1b93B00,70.4493,4.07
2ywlA01,70.4156,9.23
1bgwA02,70.3456,7.1
4qjiB00,70.2896,6.56
3pwzA01,70.2263,7.95
1pzxB01,70.1295,5.89
1wuiS01,70.0457,6.08
2pjuA02,69.9903,5.61
1xvlA02,69.944,5.53
1ispA00,69.8889,6.19
1ebfA01,69.8396,5.29
3etnB00,69.7587,8.27
1rybA00,69.7485,8.25
2qs9A00,69.7322,8.3
2xvyA02,69.6883,5.4
1xmxA01,69.6476,6.2
2i2xB02,69.6415,5.73
2ja2A01,69.5311,6.25
2gk4A00,69.4338,4.29
3tsaA02,69.407,5.26
3mtqB00,69.4055,5.78
4b46A01,69.3241,5.41
3giuA00,69.2504,8.67
4i3gA02,69.1804,6.49
1vb5B02,69.1231,8.16
1vimA00,69.0206,6.24
1o7jA02,69.0066,12.72
3mgkA00,68.9787,5.83
3mwdB02,68.9419,7.35
3c3dA01,68.9333,6.56
4a8pF01,68.933,11.26
3o8oA03,68.7233,5.12
1yzfA00,68.4735,6.75
3rg8C00,68.4576,5.75
3ahcA03,68.4511,8.97
3iprA00,68.4016,5.5
2az4A02,68.355,7.08
1lk5A01,68.3024,7.06
1sr8A03,68.2742,8.22
2cw5C01,68.2371,6.99
2wr8A01,68.097,7.8
1ad2A02,68.0969,7.27
3lupA01,67.9971,10.22
3f8dB01,67.8883,4.07
2amlB01,67.8684,3.92
1vb3A03,67.733,11.16
3ptaA05,67.6804,8.24
3jr7A01,67.6558,5.42
1sbzA00,67.6477,6.12
3ze9A01,67.6445,6.41
3qyfA01,67.643,9.09
3fysA01,67.5456,5.88
